csl,2020-05-06,308.5,306.78,309.69,304.32,739544
csl,2020-05-05,307,305.72,309.16,304.02,647630
cba,2020-05-06,60.5,60.35,60.7,59.88,2251545
cba,2020-05-05,60.6,60.85,61.19,60.15,3800096
bhp,2020-05-06,30.54,30.41,30.57,30.1,4317932
bhp,2020-05-05,30.25,30.69,30.69,30.14,4854908
wbc,2020-05-06,16,15.96,16.06,15.79,9159865
wbc,2020-05-05,15.95,16.2,16.2,15.84,11678036
nab,2020-05-06,16.81,16.59,16.87,16.38,13486052
nab,2020-05-05,16.73,16.99,16.99,16.56,28753496
anz,2020-05-06,16.34,16.2,16.35,16.06,6489286
anz,2020-05-05,16.27,16.45,16.46,16.19,7249285
wow,2020-05-06,35.02,35.12,35.29,34.74,2062787
wow,2020-05-05,35.35,35.31,35.53,34.98,2466018
wes,2020-05-06,36.63,36.65,36.89,36.35,1562522
wes,2020-05-05,36.77,37.05,37.27,36.61,1523993
tcl,2020-05-06,13.76,13.6,13.79,13.425,24737618
tcl,2020-05-05,13.8,13.8,13.89,13.6,5764919
tls,2020-05-06,3.08,3.06,3.095,3.05,15885144
tls,2020-05-05,3.1,3.09,3.105,3.05,20083271
mqg,2020-05-06,100.2,99.45,100.39,98.43,868205
mqg,2020-05-05,98.03,100.24,100.58,98.03,1137653
fmg,2020-05-06,11.1,11.26,11.3,10.96,8510252
fmg,2020-05-05,10.95,11.03,11.1,10.85,8433137
rio,2020-05-06,82.65,81.99,82.9,81.5,1369640
rio,2020-05-05,82.12,82.75,83.06,81.63,1323805
gmg,2020-05-06,13.39,13.6,13.69,13.27,3531242
gmg,2020-05-05,13.33,13.6,13.68,13.29,3735812
ncm,2020-05-06,28.49,28.65,29.23,28.16,8288178
ncm,2020-05-05,26.78,27.77,28.03,26.44,6648518
wpl,2020-05-06,22.5,21.95,22.58,21.745,3314092
wpl,2020-05-05,21.32,21.89,21.91,21.12,2832102
col,2020-05-06,15.4,15.32,15.45,15.22,3316717
col,2020-05-05,15.54,15.47,15.615,15.28,3872088
bxb,2020-05-06,10.8,10.9,10.93,10.61,4224868
bxb,2020-05-05,10.65,10.7,10.85,10.64,3128887
asx,2020-05-06,83.3,83.47,84.08,82.6,323429
asx,2020-05-05,83.24,83.46,83.85,81.98,369112
all,2020-05-06,24.87,24.57,24.92,24.42,2783168
all,2020-05-05,23.9,24.7,24.7,23.75,1419574
fph,2020-05-06,26.5,26.95,27.11,26.45,954192
fph,2020-05-05,25.74,26.16,26.79,25.74,483125
rhc,2020-05-06,62.69,62.57,62.88,61.65,410633
rhc,2020-05-05,63,63.15,63.82,62.21,656787
a2m,2020-05-06,18.7,18.54,18.86,18.53,1736350
a2m,2020-05-05,18.74,18.77,18.9,18.59,1575649
apa,2020-05-06,11.2,11.31,11.38,11.08,1815807
apa,2020-05-05,11.1,11.24,11.25,11.01,1405282
amc,2020-05-06,13.32,13.43,13.53,13.14,2506403
amc,2020-05-05,13.49,13.47,13.66,13.36,3599150
syd,2020-05-06,5.68,5.52,5.68,5.52,9915797
syd,2020-05-05,5.9,5.68,5.93,5.68,10001240
iag,2020-05-06,5.48,5.38,5.51,5.335,4238082
iag,2020-05-05,5.48,5.49,5.51,5.38,7791306
shl,2020-05-06,26.41,26.02,26.41,25.86,1218174
shl,2020-05-05,26.4,26.37,26.65,26.26,1500128
coh,2020-05-06,183.89,182.01,184.73,179.84,222326
coh,2020-05-05,182.66,182,183.44,179.68,185576
rea,2020-05-06,87.35,88.28,89.23,86.345,210298
rea,2020-05-05,85.88,87.1,88.19,85.78,263064
scg,2020-05-06,2.16,2.13,2.17,2.09,12397329
scg,2020-05-05,2.12,2.18,2.22,2.12,21955024
xro,2020-05-06,79,79.19,79.64,77.53,404485
xro,2020-05-05,80.01,79.69,80.3,78.8,365748
qbe,2020-05-06,7.83,7.68,7.855,7.68,5905378
qbe,2020-05-05,7.7,7.75,7.83,7.67,6531183
sun,2020-05-06,8.88,8.7,8.88,8.61,2662709
sun,2020-05-05,8.7,8.89,8.89,8.665,3158660
agl,2020-05-06,16.33,16.48,16.56,16.28,1887338
agl,2020-05-05,16.34,16.36,16.79,16.31,2975099
apt,2020-05-06,38.51,39.8,39.95,38.51,2881542
apt,2020-05-05,36.9,38.18,38.18,36.48,4142140
sto,2020-05-06,4.97,4.85,4.99,4.79,10403521
sto,2020-05-05,4.69,4.83,4.86,4.64,12724312
dxs,2020-05-06,8.96,8.88,8.99,8.83,3597014
dxs,2020-05-05,8.74,9.04,9.06,8.74,4635731
org,2020-05-06,5.64,5.57,5.65,5.49,6045454
org,2020-05-05,5.39,5.55,5.63,5.36,7612960
jhx,2020-05-06,21.21,20.6,21.36,20.335,2980033
jhx,2020-05-05,21.54,21.82,22.3,21.32,2752767
nst,2020-05-06,12.92,12.9,13.14,12.755,2883069
nst,2020-05-05,12.5,12.77,12.86,12.34,2952729
mfg,2020-05-06,51.01,52.38,52.65,50.17,849200
mfg,2020-05-05,48.88,50.53,50.59,48.4,712384
s32,2020-05-06,1.87,1.86,1.885,1.84,9949467
s32,2020-05-05,1.865,1.89,1.91,1.86,20234544
evn,2020-05-06,5.25,5.24,5.32,5.21,11723791
evn,2020-05-05,5.08,5.23,5.24,5.04,10009130
azj,2020-05-06,4.63,4.55,4.78,4.53,4979832
azj,2020-05-05,4.66,4.61,4.72,4.58,3729487
mgr,2020-05-06,2.17,2.18,2.19,2.135,10972728
mgr,2020-05-05,2.12,2.21,2.23,2.11,12523369
rmd,2020-05-06,24.5,24.7,24.8,24.34,1980096
rmd,2020-05-05,24.16,23.85,24.23,23.73,1584488
aia,2020-05-06,5.59,5.49,5.59,5.45,497366
aia,2020-05-05,5.53,5.59,5.67,5.46,710531
llc,2020-05-06,11.7,11.68,11.71,11.29,2849765
llc,2020-05-05,12.23,11.69,12.27,11.69,9456938
spk,2020-05-06,4.15,4.23,4.26,4.15,792269
spk,2020-05-05,4.19,4.17,4.23,4.15,691291
gpt,2020-05-06,3.79,3.87,3.92,3.79,4681219
gpt,2020-05-05,3.77,3.82,3.87,3.72,5004646
cim,2020-05-06,23.3,23.38,23.6,22.99,301597
cim,2020-05-05,23.18,23.25,23.74,23.05,284250
mpl,2020-05-06,2.67,2.76,2.77,2.66,18259742
mpl,2020-05-05,2.69,2.66,2.69,2.64,7193327
twe,2020-05-06,9.89,9.85,10.03,9.68,3117857
twe,2020-05-05,9.83,9.97,10.01,9.77,2211397
ast,2020-05-06,1.9,1.915,1.93,1.885,7697793
ast,2020-05-05,1.89,1.89,1.9,1.87,6349464
afi,2020-05-06,5.75,5.76,5.76,5.7,443741
afi,2020-05-05,5.74,5.74,5.79,5.73,383074
ori,2020-05-06,17.01,17.23,17.6,16.88,1128484
ori,2020-05-05,16.7,16.9,16.96,16.67,848421
tpm,2020-05-06,7.03,7.33,7.33,7.03,787223
tpm,2020-05-05,6.96,7.14,7.17,6.93,1117282
sgp,2020-05-06,2.67,2.67,2.7,2.6,9454893
