csl, 2020-05-07, 310.79, 307.93, 312, 305.62, 1208546
cba, 2020-05-07, 59.93, 59.26, 60.19, 59.14, 3227213
bhp, 2020-05-07, 30.7, 31, 31.04, 30.58, 6332297
wbc, 2020-05-07, 15.84, 15.6, 15.87, 15.56, 8369533
nab, 2020-05-07, 16.34, 16.22, 16.43, 16.15, 11916668
anz, 2020-05-07, 16.05, 15.85, 16.1, 15.85, 8288031
wow, 2020-05-07, 35.19, 34.91, 35.27, 34.7, 3188886
wes, 2020-05-07, 36.45, 36.4, 36.64, 36.01, 2418548
tcl, 2020-05-07, 13.4, 13.42, 13.6, 13.35, 5345259
tls, 2020-05-07, 3.09, 3.06, 3.09, 3.04, 23516752
mqg, 2020-05-07, 98.9, 99.55, 100.54, 97.91, 934125
fmg, 2020-05-07, 11.3, 11.45, 11.545, 11.17, 9815779
rio, 2020-05-07, 82.3, 81.51, 82.37, 81.08, 2203546
gmg, 2020-05-07, 13.85, 14.11, 14.16, 13.79, 7008401
ncm, 2020-05-07, 28.45, 27.83, 28.575, 27.66, 6151338
wpl, 2020-05-07, 21.72, 21.65, 21.89, 21.51, 2322085
col, 2020-05-07, 15.45, 15.23, 15.51, 15.2, 5753965
bxb, 2020-05-07, 10.98, 10.65, 11.1, 10.56, 4060623
asx, 2020-05-07, 83.67, 80.98, 83.67, 80.205, 605415
all, 2020-05-07, 24.23, 25, 25.22, 24.13, 5069331
fph, 2020-05-07, 27.29, 27.62, 27.7, 27.16, 2158108
rhc, 2020-05-07, 62.01, 62, 62.43, 60.96, 785418
a2m, 2020-05-07, 18.61, 18.3, 18.75, 18.29, 2710873
apa, 2020-05-07, 11.24, 11.11, 11.33, 11.06, 2002874
amc, 2020-05-07, 13.36, 13.22, 13.5, 13.15, 2857315
syd, 2020-05-07, 5.5, 5.42, 5.5, 5.42, 13888742
iag, 2020-05-07, 5.31, 5.3, 5.35, 5.26, 9323943
shl, 2020-05-07, 25.89, 25.86, 26.07, 25.53, 1618774
coh, 2020-05-07, 183.5, 184.5, 184.8, 181.05, 211067
rea, 2020-05-07, 88.54, 88.35, 88.93, 86.8, 430189
scg, 2020-05-07, 2.1, 2.12, 2.13, 2.07, 14132592
xro, 2020-05-07, 79.39, 82.1, 82.4, 78.9, 1262452
qbe, 2020-05-07, 7.61, 7.51, 7.67, 7.51, 10273890
sun, 2020-05-07, 8.55, 8.77, 8.84, 8.54, 4235804
agl, 2020-05-07, 16.46, 16.39, 16.68, 16.26, 2441917
apt, 2020-05-07, 39.21, 39.5, 39.73, 38.52, 2356639
sto, 2020-05-07, 4.79, 4.76, 4.81, 4.69, 6873759
dxs, 2020-05-07, 8.85, 8.7, 8.91, 8.61, 3682809
org, 2020-05-07, 5.52, 5.53, 5.545, 5.43, 5436103
jhx, 2020-05-07, 20.58, 21.48, 21.58, 20.09, 2289363
nst, 2020-05-07, 12.98, 12.84, 13.17, 12.66, 4066392
mfg, 2020-05-07, 52.55, 53.04, 53.04, 51.02, 951979
s32, 2020-05-07, 1.855, 1.865, 1.875, 1.83, 9674136
evn, 2020-05-07, 5.22, 5.38, 5.4, 5.19, 10210933
azj, 2020-05-07, 4.53, 4.58, 4.59, 4.49, 8682917
mgr, 2020-05-07, 2.17, 2.18, 2.2, 2.12, 10946609
rmd, 2020-05-07, 24.88, 24.95, 25.07, 24.76, 1349301
aia, 2020-05-07, 5.41, 5.39, 5.44, 5.33, 431897
llc, 2020-05-07, 11.57, 11.3, 11.6, 11.22, 3688090
spk, 2020-05-07, 4.22, 4.18, 4.24, 4.15, 3395043
gpt, 2020-05-07, 3.88, 3.87, 3.92, 3.81, 5652457
cim, 2020-05-07, 23.44, 23.19, 23.45, 23.02, 319813
mpl, 2020-05-07, 2.75, 2.85, 2.855, 2.73, 15451096
twe, 2020-05-07, 9.55, 9.91, 10.02, 9.46, 3436693
ast, 2020-05-07, 1.9, 1.95, 1.96, 1.9, 11152142
afi, 2020-05-07, 5.76, 5.71, 5.77, 5.71, 245465
ori, 2020-05-07, 17.28, 16.76, 17.43, 16.65, 1248322
tpm, 2020-05-07, 7.27, 7.2, 7.27, 7.08, 1096871
sgp, 2020-05-07, 2.66, 2.74, 2.76, 2.62, 9062969
tah, 2020-05-07, 3.13, 3.14, 3.18, 3.11, 4741459
cpu, 2020-05-07, 11.57, 11.42, 11.6, 11.34, 1583946
cwn, 2020-05-07, 9.25, 9.16, 9.34, 9.03, 1934906
osh, 2020-05-07, 2.9, 2.87, 2.92, 2.85, 16362359
wtc, 2020-05-07, 19.85, 20.06, 20.19, 19.35, 1619584
ctx, 2020-05-07, 24.35, 24.34, 24.52, 23.86, 1441668
ccl, 2020-05-07, 8.45, 8.41, 8.47, 8.355, 2632098
sek, 2020-05-07, 17.2, 16.93, 17.33, 16.89, 1296522
mcy, 2020-05-07, 4.32, 4.29, 4.32, 4.29, 439
qan, 2020-05-07, 3.5, 3.46, 3.53, 3.42, 15449319
reh, 2020-05-07, 8.15, 8.15, 8.19, 7.96, 904061
mez, 2020-05-07, 4.3, 4.25, 4.3, 4.2, 28489
alx, 2020-05-07, 5.8, 5.87, 5.92, 5.75, 3770867
bsl, 2020-05-07, 10, 10.07, 10.14, 9.86, 3872195
arg, 2020-05-07, 7.2, 7.2, 7.27, 7.2, 125668
vcx, 2020-05-07, 1.36, 1.36, 1.37, 1.34, 8709187
dmp, 2020-05-07, 57.43, 56.94, 57.72, 56.48, 198718
amp, 2020-05-07, 1.37, 1.365, 1.38, 1.345, 8348474
sar, 2020-05-07, 4.27, 4.32, 4.37, 4.22, 5880216
vas, 2020-05-07, 68.34, 68.09, 68.5, 67.86, 181192
svw, 2020-05-07, 14.07, 14.01, 14.14, 13.77, 309166
alu, 2020-05-07, 35.5, 36.12, 36.24, 35.23, 712603
awc, 2020-05-07, 1.58, 1.58, 1.595, 1.55, 11159713
wor, 2020-05-07, 8.41, 8.47, 8.66, 8.27, 1981257
qub, 2020-05-07, 2.55, 2.5, 2.55, 2.49, 8391759
sol, 2020-05-07, 17.87, 17.86, 17.94, 17.65, 290611
iel, 2020-05-07, 14.99, 15.21, 15.47, 14.79, 873257
nxt, 2020-05-07, 9.49, 9.55, 9.65, 9.35, 2805411
jbh, 2020-05-07, 34.69, 33.99, 34.92, 33.56, 828600
ann, 2020-05-07, 29.79, 29.91, 30.04, 29.47, 471919
cwy, 2020-05-07, 1.83, 1.825, 1.845, 1.79, 5772946
ipl, 2020-05-07, 2.24, 2.2, 2.25, 2.17, 4370852
ebo, 2020-05-07, 21.01, 21, 21.42, 21, 4183
hvn, 2020-05-07, 2.89, 2.84, 2.915, 2.81, 5166801
chc, 2020-05-07, 7.19, 7.32, 7.33, 7.08, 1947728
car, 2020-05-07, 13.99, 13.88, 14.02, 13.67, 750022
ski, 2020-05-07, 1.98, 1.98, 2.03, 1.97, 11653866
bld, 2020-05-07, 2.65, 2.74, 2.8, 2.6, 11935607
bpt, 2020-05-07, 1.47, 1.505, 1.52, 1.465, 21147521
stw, 2020-05-07, 49.95, 49.76, 50, 49.6, 162308
alq, 2020-05-07, 6.65, 6.39, 6.66, 6.25, 1918328
ben, 2020-05-07, 6, 5.92, 6.05, 5.86, 2851411
apx, 2020-05-07, 28.5, 29.05, 29.48, 28, 1182004
min, 2020-05-07, 16.65, 16.91, 16.99, 16.6, 635604
ilu, 2020-05-07, 7.49, 7.59, 7.6, 7.49, 1165877
ivv, 2020-05-07, 445.97, 445.12, 446.73, 444.67, 6446
tne, 2020-05-07, 9.86, 9.92, 10, 9.82, 1824262
ora, 2020-05-07, 2.46, 2.43, 2.48, 2.39, 2941169
cnu, 2020-05-07, 6.66, 6.75, 6.75, 6.65, 409041
yal, 2020-05-07, 2.3, 2.38, 2.39, 2.275, 28704
vea, 2020-05-07, 1.44, 1.435, 1.47, 1.4, 3542367
cgf, 2020-05-07, 4.41, 4.54, 4.595, 4.33, 2997791
fbu, 2020-05-07, 3.35, 3.26, 3.36, 3.26, 908921
ozl, 2020-05-07, 8.6, 8.69, 8.69, 8.52, 811328
ift, 2020-05-07, 4.33, 4.35, 4.37, 4.32, 10231
igo, 2020-05-07, 4.71, 4.67, 4.71, 4.61, 2187759
gne, 2020-05-07, 2.75, 2.73, 2.75, 2.72, 5369
pme, 2020-05-07, 26.31, 27.28, 27.28, 25.97, 411322
sdf, 2020-05-07, 3, 3.04, 3.05, 2.99, 4887305
mlt, 2020-05-07, 3.85, 3.79, 3.85, 3.79, 160861
mts, 2020-05-07, 2.36, 2.34, 2.38, 2.31, 9348137
sgr, 2020-05-07, 2.66, 2.68, 2.69, 2.6, 2493618
pmv, 2020-05-07, 15.22, 15.27, 15.43, 15, 410872
dow, 2020-05-07, 3.98, 4, 4.02, 3.91, 4175979
nec, 2020-05-07, 1.39, 1.4, 1.405, 1.375, 3517939
rrl, 2020-05-07, 4.67, 4.64, 4.69, 4.58, 5728097
brg, 2020-05-07, 18.11, 18.51, 18.51, 17.78, 418248
scp, 2020-05-07, 2.2, 2.15, 2.22, 2.15, 2607770
bwp, 2020-05-07, 3.56, 3.54, 3.6, 3.54, 1831072
goz, 2020-05-07, 2.91, 2.94, 2.94, 2.88, 1475994
nhf, 2020-05-07, 4.79, 4.92, 4.92, 4.71, 964575
mgg, 2020-05-07, 1.755, 1.77, 1.795, 1.755, 569514
boq, 2020-05-07, 4.73, 4.69, 4.77, 4.68, 2253378
ptm, 2020-05-07, 3.47, 3.45, 3.48, 3.43, 819668
nan, 2020-05-07, 6.74, 6.86, 6.93, 6.64, 1173660
clw, 2020-05-07, 4.07, 4.13, 4.19, 4.05, 1878498
cmw, 2020-05-07, 0.745, 0.74, 0.765, 0.735, 4253911
bkw, 2020-05-07, 13.28, 13.26, 13.28, 13.07, 288308
hta, 2020-05-07, 0.15, 0.15, 0.15, 0.15, 45428
nuf, 2020-05-07, 5.09, 5.2, 5.25, 5.08, 1191407
lnk, 2020-05-07, 3.59, 3.49, 3.66, 3.475, 5299715
rwc, 2020-05-07, 2.43, 2.47, 2.49, 2.39, 2971566
ire, 2020-05-07, 10.86, 10.88, 11.04, 10.81, 438426
ioz, 2020-05-07, 22, 21.9, 22.07, 21.88, 229699
mp1, 2020-05-07, 13.5, 13.51, 14.04, 13.45, 869106
vvr, 2020-05-07, 2.33, 2.3, 2.35, 2.29, 2643523
whc, 2020-05-07, 1.77, 1.765, 1.805, 1.755, 4929520
flt, 2020-05-07, 9.94, 9.95, 10.04, 9.68, 3104647
voc, 2020-05-07, 2.82, 2.92, 2.95, 2.82, 1334336
nwl, 2020-05-07, 7.42, 7.61, 7.7, 7.31, 1035806
sbm, 2020-05-07, 2.5, 2.54, 2.55, 2.47, 5131390
msb, 2020-05-07, 3.6, 3.54, 3.65, 3.43, 7793411
pdl, 2020-05-07, 5.32, 5.35, 5.41, 5.23, 618352
ioo, 2020-05-07, 76.15, 76.16, 76.41, 76.01, 22634
cqr, 2020-05-07, 3.09, 3.01, 3.12, 3, 5486905
slr, 2020-05-07, 1.9, 1.905, 1.91, 1.865, 4111126
csr, 2020-05-07, 3.4, 3.44, 3.44, 3.31, 2663042
abc, 2020-05-07, 2.49, 2.56, 2.59, 2.46, 2464747
abp, 2020-05-07, 2.43, 2.42, 2.47, 2.41, 518361
iph, 2020-05-07, 7.25, 7.25, 7.32, 7.11, 656149
dhg, 2020-05-07, 2.83, 2.88, 2.88, 2.73, 3081568
mff, 2020-05-07, 2.89, 2.85, 2.9, 2.85, 175004
bap, 2020-05-07, 4.8, 5, 5.03, 4.74, 1933910
skc, 2020-05-07, 2.31, 2.27, 2.34, 2.27, 711625
hls, 2020-05-07, 2.45, 2.51, 2.51, 2.43, 1899343
pnv, 2020-05-07, 2.45, 2.6, 2.62, 2.42, 6347503
ifl, 2020-05-07, 4.24, 4.23, 4.27, 4.16, 703860
bin, 2020-05-07, 2.07, 2.05, 2.11, 2.02, 4990192
tyr, 2020-05-07, 2.99, 3.05, 3.1, 2.93, 2515272
ivc, 2020-05-07, 10.39, 10.44, 10.46, 10.2, 562215
gor, 2020-05-07, 1.58, 1.575, 1.59, 1.525, 10644423
eld, 2020-05-07, 9.07, 9.11, 9.19, 8.99, 667069
tlt, 2020-05-07, 3, 3, 3, 3, 326
sgm, 2020-05-07, 6.79, 6.69, 6.81, 6.65, 380788
ppt, 2020-05-07, 28.99, 28.76, 29.22, 28.34, 154357
wam, 2020-05-07, 1.89, 1.86, 1.895, 1.86, 193376
aiz, 2020-05-07, 1.18, 1.165, 1.18, 1.15, 2012617
nsr, 2020-05-07, 1.58, 1.585, 1.605, 1.572, 4671596
bkl, 2020-05-07, 76, 77.34, 78.13, 75.95, 46989
vuk, 2020-05-07, 1.415, 1.445, 1.475, 1.395, 6804232
ctd, 2020-05-07, 11.7, 12.08, 12.68, 11.38, 1220259
snz, 2020-05-07, 5.7, 5.74, 5.74, 5.7, 700
fnp, 2020-05-07, 4.34, 4.51, 4.55, 4.34, 393305
sul, 2020-05-07, 6.09, 6.25, 6.25, 5.92, 712108
lyc, 2020-05-07, 1.79, 1.785, 1.805, 1.735, 7285010
evt, 2020-05-07, 7.5, 7.43, 7.53, 7.43, 101288
ing, 2020-05-07, 3.23, 3.22, 3.27, 3.2, 1401941
pph, 2020-05-07, 5.7, 6.04, 6.13, 5.68, 1276636
mxt, 2020-05-07, 1.87, 1.885, 1.9, 1.865, 636065
bvs, 2020-05-07, 4.87, 4.73, 4.89, 4.7, 981711
arb, 2020-05-07, 14.49, 14.88, 14.88, 14.26, 195335
